city;district;district_code;street
Praha;Bubeneč;Praha 6;Císařský ostrov
Praha;Bubeneč;Praha 6;Královská obora
Praha;Bubeneč;Praha 6;Stromovka
Praha;Bubeneč;Praha 7;Císařský ostrov
Praha;Bubeneč;Praha 7;Čechova
Praha;Bubeneč;Praha 7;Havanská
Praha;Bubeneč;Praha 7;Jana Zajíce
Praha;Bubeneč;Praha 7;Kamenická
Praha;Bubeneč;Praha 7;Keramická
Praha;Bubeneč;Praha 7;Korunovační
Praha;Bubeneč;Praha 7;Královská obora
Praha;Bubeneč;Praha 7;Letenské náměstí
Praha;Bubeneč;Praha 7;Malířská
Praha;Bubeneč;Praha 7;Milady Horákové
Praha;Bubeneč;Praha 7;Na výšinách
Praha;Bubeneč;Praha 7;Nad Královskou oborou
Praha;Bubeneč;Praha 7;Ovenecká
Praha;Bubeneč;Praha 7;Sládkova
Praha;Bubeneč;Praha 7;Sochařská
Praha;Bubeneč;Praha 7;Stromovka
Praha;Bubeneč;Praha 7;Šmeralova
Praha;Bubeneč;Praha 7;U akademie
Praha;Bubeneč;Praha 7;U Sparty
Praha;Bubeneč;Praha 7;U studánky
Praha;Bubeneč;Praha 7;U Výstaviště
Praha;Bubeneč;Praha 7;Veletržní
Praha;Bubeneč;Praha 7;Výstaviště
Praha;Bubeneč;Praha 7;Za Císařským mlýnem
Praha;Bubeneč;Praha 7;Za elektrárnou
Praha;Holešovice;Praha 1;nábřeží Edvarda Beneše
Praha;Holešovice;Praha 7;Antonínská
Praha;Holešovice;Praha 7;Argentinská
Praha;Holešovice;Praha 7;Badeniho
Praha;Holešovice;Praha 7;Bubenská
Praha;Holešovice;Praha 7;Bubenské nábřeží
Praha;Holešovice;Praha 7;Dělnická
Praha;Holešovice;Praha 7;Dobrovského
Praha;Holešovice;Praha 7;Dukelských hrdinů
Praha;Holešovice;Praha 7;Farského
Praha;Holešovice;Praha 7;Františka Křížka
Praha;Holešovice;Praha 7;Gerstnerova
Praha;Holešovice;Praha 7;Haškova
Praha;Holešovice;Praha 7;Heřmanova
Praha;Holešovice;Praha 7;Jablonského
Praha;Holešovice;Praha 7;Jankovcova
Praha;Holešovice;Praha 7;Janovského
Praha;Holešovice;Praha 7;Jateční
Praha;Holešovice;Praha 7;Jirečkova
Praha;Holešovice;Praha 7;Kamenická
Praha;Holešovice;Praha 7;Komunardů
Praha;Holešovice;Praha 7;Kostelní
Praha;Holešovice;Praha 7;Letenské náměstí
Praha;Holešovice;Praha 7;Letenské sady
Praha;Holešovice;Praha 7;Letohradská
Praha;Holešovice;Praha 7;Malá Plynární
Praha;Holešovice;Praha 7;Milady Horákové
Praha;Holešovice;Praha 7;Muzejní
Praha;Holešovice;Praha 7;Na Maninách
Praha;Holešovice;Praha 7;Na ovčinách
Praha;Holešovice;Praha 7;Na šachtě
Praha;Holešovice;Praha 7;Na Špejcharu
Praha;Holešovice;Praha 7;Na zátorách
Praha;Holešovice;Praha 7;nábřeží Kapitána Jaroše
Praha;Holešovice;Praha 7;Nad štolou
Praha;Holešovice;Praha 7;Ortenovo náměstí
Praha;Holešovice;Praha 7;Osadní
Praha;Holešovice;Praha 7;Ostrov Štvanice
Praha;Holešovice;Praha 7;Ovenecká
Praha;Holešovice;Praha 7;Partyzánská
Praha;Holešovice;Praha 7;Plynární
Praha;Holešovice;Praha 7;Poupětova
Praha;Holešovice;Praha 7;Pplk. Sochora
Praha;Holešovice;Praha 7;Přístavní
Praha;Holešovice;Praha 7;Přívozní
Praha;Holešovice;Praha 7;Rajská
Praha;Holešovice;Praha 7;Řezáčovo náměstí
Praha;Holešovice;Praha 7;Schnirchova
Praha;Holešovice;Praha 7;Skalecká
Praha;Holešovice;Praha 7;Strojnická
Praha;Holešovice;Praha 7;Strossmayerovo náměstí
Praha;Holešovice;Praha 7;Stupkova
Praha;Holešovice;Praha 7;Šimáčkova
Praha;Holešovice;Praha 7;Šternberkova
Praha;Holešovice;Praha 7;Tovární
Praha;Holešovice;Praha 7;Tusarova
Praha;Holešovice;Praha 7;U elektrárny
Praha;Holešovice;Praha 7;U garáží
Praha;Holešovice;Praha 7;U letenského sadu
Praha;Holešovice;Praha 7;U městských domů
Praha;Holešovice;Praha 7;U měšťanského pivovaru
Praha;Holešovice;Praha 7;U papírny
Praha;Holešovice;Praha 7;U parního mlýna
Praha;Holešovice;Praha 7;U Pergamenky
Praha;Holešovice;Praha 7;U průhonu
Praha;Holešovice;Praha 7;U smaltovny
Praha;Holešovice;Praha 7;U staré plynárny
Praha;Holešovice;Praha 7;U studánky
Praha;Holešovice;Praha 7;U topíren
Praha;Holešovice;Praha 7;U Uranie
Praha;Holešovice;Praha 7;U vody
Praha;Holešovice;Praha 7;U Výstaviště
Praha;Holešovice;Praha 7;Umělecká
Praha;Holešovice;Praha 7;V háji
Praha;Holešovice;Praha 7;V přístavu
Praha;Holešovice;Praha 7;V zákoutí
Praha;Holešovice;Praha 7;V závětří
Praha;Holešovice;Praha 7;Varhulíkové
Praha;Holešovice;Praha 7;Veletržní
Praha;Holešovice;Praha 7;Veverkova
Praha;Holešovice;Praha 7;Vinařská
Praha;Holešovice;Praha 7;Vrbenského
Praha;Holešovice;Praha 7;Za elektrárnou
Praha;Holešovice;Praha 7;Za papírnou
Praha;Holešovice;Praha 7;Za viaduktem
Praha;Holešovice;Praha 7;Železničářů
Praha;Troja;Praha-Troja;Císařský ostrov
